id,time,origin_x,origin_y,dest_x,dest_y
P0,0,7,0,9,9
P1,2,9,8,5,5
P2,3,5,6,8,2
P3,10,7,7,5,7
P4,13,8,9,7,4
P5,14,7,6,6,0
P6,15,10,5,10,4
P7,17,8,0,10,1
P8,18,5,10,8,2
P9,26,7,2,9,0
P10,36,8,2,6,7
P11,39,7,2,5,10
P12,40,8,10,5,7
P13,41,8,9,8,0
P14,43,6,9,10,5
P15,47,5,3,6,10
P16,49,6,0,5,10
P17,50,8,0,10,8
P18,57,5,0,5,2
P19,59,6,1,8,3
P20,61,10,10,7,8
P21,64,7,4,7,10
P22,65,9,10,7,0
P23,68,7,0,10,0
P24,70,9,7,9,0
P25,72,5,2,5,7
P26,73,8,6,6,5
P27,74,8,2,9,1
P28,85,6,4,9,6
P29,86,10,6,5,8
P30,90,5,2,7,2
P31,91,5,2,8,8
P32,93,7,7,6,7
P33,95,6,2,7,5
P34,97,5,4,8,6
P35,109,8,1,8,2
P36,113,5,1,9,0
P37,114,6,9,10,8
P38,116,9,0,9,1
P39,117,9,1,7,7
P40,118,10,1,7,7
P41,125,9,6,10,5
P42,126,7,9,10,6
P43,129,6,9,9,7
P44,130,7,5,5,4
P45,135,6,4,7,1
P46,140,9,0,10,1
P47,142,8,2,8,3
P48,143,9,7,10,3
P49,144,10,4,8,0
P50,147,5,3,9,0
P51,150,7,1,7,0
P52,151,10,0,6,4
P53,154,10,7,5,4
P54,164,9,6,7,1
P55,168,5,4,5,1
P56,170,6,4,6,7
P57,176,6,7,8,1
P58,182,9,9,6,9
P59,183,10,4,7,4
P60,185,6,9,9,5
P61,186,10,7,5,3
P62,187,8,10,9,0
P63,190,8,10,9,7
P64,191,7,9,5,1
P65,193,6,5,6,10
P66,194,7,0,6,6
P67,197,6,9,9,8
P68,199,10,8,6,8
P69,203,10,3,6,8
P70,209,9,4,5,7
P71,216,5,2,6,1
P72,218,6,6,5,6
P73,226,6,0,8,8
P74,228,8,8,10,7
P75,229,9,4,8,7
P76,235,8,4,10,1
P77,238,5,5,9,5
P78,245,7,9,7,2
P79,246,5,8,6,1
P80,253,5,5,10,6
P81,254,9,6,10,3
P82,256,10,10,6,1
P83,259,5,10,9,10
P84,260,5,2,5,5
P85,262,6,4,7,10
P86,266,6,2,5,1
P87,270,8,9,10,9
P88,272,10,5,7,5
P89,276,8,2,8,2
P90,280,10,6,10,10
P91,281,5,2,5,0
P92,282,9,3,10,10
P93,284,7,1,7,5
P94,289,7,2,8,7
P95,290,8,9,5,9
P96,291,5,3,8,1
P97,292,5,4,8,6
P98,296,9,5,9,10
P99,299,5,3,6,7
