id,time,origin_x,origin_y,dest_x,dest_y
P0,1,5,7,6,4
P1,2,6,2,6,4
P2,5,10,8,5,1
P3,6,9,7,7,7
P4,7,10,4,7,7
P5,8,6,0,5,5
P6,9,7,3,8,9
P7,10,6,10,6,7
P8,11,10,0,10,9
P9,12,8,7,10,6
P10,13,9,8,6,9
P11,14,6,3,7,4
P12,15,7,10,5,5
P13,16,6,0,10,7
P14,18,8,2,7,8
P15,19,8,1,10,4
P16,20,9,5,7,1
P17,21,9,8,6,3
P18,25,6,6,5,0
P19,26,9,7,7,0
P20,27,8,3,8,3
P21,32,7,3,7,8
P22,34,7,9,8,8
P23,35,5,2,8,0
P24,41,9,8,8,4
P25,42,8,2,6,7
P26,44,8,9,8,5
P27,47,10,1,8,10
P28,49,7,3,8,5
P29,51,7,0,6,9
P30,52,6,3,8,9
P31,53,10,7,6,1
P32,57,6,8,5,0
P33,59,7,0,9,10
P34,60,5,2,8,2
P35,61,5,9,10,9
P36,62,9,7,10,0
P37,63,9,7,5,4
P38,64,10,3,10,5
P39,66,6,3,5,1
P40,67,5,7,8,4
P41,69,7,4,7,4
P42,70,10,7,7,4
P43,72,5,8,7,10
P44,74,10,7,5,6
P45,75,5,10,8,1
P46,76,9,2,6,6
P47,78,6,9,7,1
P48,79,5,0,10,2
P49,81,8,5,9,4
P50,83,8,3,9,3
P51,84,8,4,6,3
P52,86,8,3,10,4
P53,89,7,1,6,2
P54,90,6,3,7,8
P55,91,6,4,5,9
P56,92,10,7,8,3
P57,94,5,9,8,3
P58,95,9,7,6,5
P59,96,7,3,6,7
P60,97,5,10,8,9
P61,99,7,3,7,10
P62,100,6,10,6,1
P63,102,9,3,10,7
P64,104,7,6,5,2
P65,106,7,8,8,9
P66,107,9,2,10,1
P67,109,5,4,7,1
P68,111,8,4,6,5
P69,115,5,1,5,6
P70,117,5,9,10,10
P71,118,5,10,7,6
P72,120,9,6,9,2
P73,121,7,10,7,8
P74,122,7,5,6,6
P75,124,5,10,10,0
P76,125,7,7,8,0
P77,126,7,6,8,1
P78,128,9,9,5,6
P79,132,5,4,10,9
P80,133,10,3,5,0
P81,134,6,10,8,2
P82,137,7,7,10,7
P83,138,5,6,7,8
P84,139,9,4,10,5
P85,140,6,6,9,6
P86,141,6,5,10,5
P87,142,7,0,7,2
P88,143,6,3,10,4
P89,144,7,0,7,0
P90,147,10,4,6,4
P91,148,6,4,9,10
P92,149,8,0,7,0
P93,150,5,10,10,6
P94,152,9,10,8,1
P95,153,6,4,8,8
P96,155,6,2,10,6
P97,157,6,5,6,4
P98,158,10,4,9,3
P99,160,5,9,6,7
P100,161,5,0,7,6
P101,162,5,0,5,5
P102,163,5,0,5,2
P103,164,6,7,8,10
P104,165,10,3,5,7
P105,166,5,1,6,10
P106,167,5,7,9,8
P107,169,7,2,5,9
P108,170,10,3,7,2
P109,171,10,4,9,10
P110,174,5,1,8,3
P111,177,8,0,10,7
P112,178,8,1,9,0
P113,180,9,3,8,1
P114,181,5,8,10,0
P115,182,7,7,9,9
P116,184,8,1,6,5
P117,186,7,6,9,8
P118,187,10,7,7,1
P119,188,8,8,5,8
P120,189,9,7,10,4
P121,190,6,6,6,3
P122,192,5,6,6,10
P123,194,7,5,5,9
P124,197,5,3,6,5
P125,198,5,10,5,7
P126,199,10,2,7,7
P127,200,8,2,7,0
P128,201,9,8,6,4
P129,202,5,8,10,3
P130,205,5,6,9,8
P131,206,10,3,9,10
P132,207,7,0,9,7
P133,208,7,2,9,1
P134,209,7,7,7,6
P135,211,9,0,10,7
P136,212,6,9,6,5
P137,213,8,1,10,9
P138,214,7,7,9,4
P139,216,7,9,6,3
P140,218,6,7,5,1
P141,219,5,8,9,4
P142,220,5,2,10,9
P143,222,9,9,6,6
P144,223,10,5,7,6
P145,225,10,0,5,5
P146,227,10,4,6,10
P147,229,9,10,7,3
P148,230,10,3,10,0
P149,231,8,1,7,4
P150,232,7,3,9,6
P151,235,10,8,10,8
P152,236,7,10,8,5
P153,237,7,0,10,7
P154,238,8,5,6,4
P155,239,7,1,9,8
P156,240,10,8,7,9
P157,241,8,4,6,0
P158,242,6,8,7,4
P159,244,7,9,9,8
P160,245,9,4,5,3
P161,246,9,10,9,10
P162,247,6,10,6,7
P163,248,10,2,6,8
P164,249,9,2,7,5
P165,250,8,9,6,8
P166,253,6,6,10,6
P167,256,8,1,8,3
P168,257,6,3,10,1
P169,258,8,3,7,4
P170,259,6,4,9,8
P171,260,8,4,10,2
P172,261,10,3,5,4
P173,262,10,3,9,10
P174,263,5,1,8,9
P175,264,5,6,9,10
P176,266,5,2,7,0
P177,267,10,2,10,10
P178,268,10,2,7,8
P179,269,6,9,10,2
P180,271,7,8,9,4
P181,274,6,0,7,7
P182,275,10,4,6,8
P183,276,8,1,8,7
P184,277,7,10,10,3
P185,278,10,1,10,6
P186,279,5,2,7,3
P187,284,9,5,8,5
P188,285,7,5,7,7
P189,286,10,2,6,9
P190,287,8,7,8,8
P191,288,5,6,5,8
P192,290,5,2,9,9
P193,292,6,5,5,7
P194,293,6,0,7,7
P195,294,9,0,7,6
P196,295,7,6,7,10
P197,297,6,9,6,2
P198,298,6,1,8,2
P199,299,9,1,9,9
